№,Секунда,Микросекунда
1,1708076060,329
2,1708076060,340
3,1708076060,350
4,1708076060,360
5,1708076060,370
6,1708076060,380
7,1708076060,390
8,1708076060,400
9,1708076060,410
10,1708076060,421
11,1708076060,431
12,1708076060,441
13,1708076060,451
14,1708076060,461
15,1708076060,471
16,1708076060,481
17,1708076060,491
18,1708076060,501
19,1708076060,512
20,1708076060,522
21,1708076060,532
22,1708076060,542
23,1708076060,552
24,1708076060,562
25,1708076060,572
26,1708076060,582
27,1708076060,592
28,1708076060,603
29,1708076060,613
30,1708076060,623
31,1708076060,633
32,1708076060,643
33,1708076060,653
34,1708076060,664
35,1708076060,674
36,1708076060,685
37,1708076060,695
38,1708076060,705
39,1708076060,715
40,1708076060,726
41,1708076060,736
42,1708076060,746
43,1708076060,756
44,1708076060,767
45,1708076060,777
46,1708076060,787
47,1708076060,797
48,1708076060,807
49,1708076060,818
50,1708076060,828
51,1708076060,838
52,1708076060,848
53,1708076060,858
54,1708076060,868
55,1708076060,879
56,1708076060,889
57,1708076060,899
58,1708076060,909
59,1708076060,919
60,1708076060,930
61,1708076060,940
62,1708076060,950
63,1708076060,960
64,1708076060,970
65,1708076060,980
66,1708076060,991
67,1708076061,1
68,1708076061,11
69,1708076061,21
70,1708076061,31
71,1708076061,42
72,1708076061,52
73,1708076061,62
74,1708076061,72
75,1708076061,83
76,1708076061,93
77,1708076061,103
78,1708076061,113
79,1708076061,123
80,1708076061,134
81,1708076061,145
82,1708076061,155
83,1708076061,165
84,1708076061,176
85,1708076061,186
86,1708076061,196
87,1708076061,207
88,1708076061,217
89,1708076061,227
90,1708076061,237
91,1708076061,247
92,1708076061,258
93,1708076061,268
94,1708076061,278
95,1708076061,288
96,1708076061,299
97,1708076061,309
98,1708076061,319
99,1708076061,329
100,1708076061,340
101,1708076061,350
102,1708076061,360
103,1708076061,370
104,1708076061,380
105,1708076061,390
106,1708076061,401
107,1708076061,411
108,1708076061,421
109,1708076061,431
110,1708076061,441
111,1708076061,452
112,1708076061,462
113,1708076061,472
114,1708076061,483
115,1708076061,493
116,1708076061,503
117,1708076061,513
118,1708076061,524
119,1708076061,534
120,1708076061,544
121,1708076061,554
122,1708076061,565
123,1708076061,575
124,1708076061,585
125,1708076061,595
126,1708076061,605
127,1708076061,616
128,1708076061,626
129,1708076061,636
130,1708076061,646
131,1708076061,657
132,1708076061,667
133,1708076061,677
134,1708076061,687
135,1708076061,698
136,1708076061,708
137,1708076061,718
138,1708076061,728
139,1708076061,739
140,1708076061,749
141,1708076061,759
142,1708076061,769
143,1708076061,780
144,1708076061,790
145,1708076061,801
146,1708076061,811
147,1708076061,821
148,1708076061,831
149,1708076061,842
150,1708076061,852
151,1708076061,863
152,1708076061,873
153,1708076061,883
154,1708076061,894
155,1708076061,904
156,1708076061,915
157,1708076061,925
158,1708076061,935
159,1708076061,945
160,1708076061,955
161,1708076061,966
162,1708076061,976
163,1708076061,986
164,1708076061,997
165,1708076062,7
166,1708076062,17
167,1708076062,27
168,1708076062,37
169,1708076062,48
170,1708076062,58
171,1708076062,68
172,1708076062,78
173,1708076062,89
174,1708076062,99
175,1708076062,109
176,1708076062,119
177,1708076062,130
178,1708076062,140
179,1708076062,150
180,1708076062,161
181,1708076062,171
182,1708076062,181
183,1708076062,192
184,1708076062,202
185,1708076062,212
186,1708076062,222
187,1708076062,233
188,1708076062,243
189,1708076062,253
190,1708076062,264
191,1708076062,274
192,1708076062,284
193,1708076062,294
194,1708076062,305
195,1708076062,315
196,1708076062,325
197,1708076062,335
198,1708076062,346
199,1708076062,356
200,1708076062,366
201,1708076062,376
202,1708076062,387
203,1708076062,397
204,1708076062,408
205,1708076062,419
206,1708076062,429
207,1708076062,439
208,1708076062,449
209,1708076062,459
210,1708076062,470
211,1708076062,480
212,1708076062,490
213,1708076062,500
214,1708076062,511
215,1708076062,521
216,1708076062,531
217,1708076062,541
218,1708076062,551
219,1708076062,562
220,1708076062,572
221,1708076062,582
222,1708076062,592
223,1708076062,602
224,1708076062,612
225,1708076062,623
226,1708076062,633
227,1708076062,643
228,1708076062,653
229,1708076062,663
230,1708076062,674
231,1708076062,684
232,1708076062,694
233,1708076062,704
234,1708076062,715
235,1708076062,725
236,1708076062,735
237,1708076062,745
238,1708076062,756
239,1708076062,766
240,1708076062,776
241,1708076062,786
242,1708076062,796
243,1708076062,807
244,1708076062,817
245,1708076062,827
246,1708076062,837
247,1708076062,848
248,1708076062,858
249,1708076062,868
250,1708076062,878
251,1708076062,888
252,1708076062,899
253,1708076062,909
254,1708076062,919
255,1708076062,929
256,1708076062,939
257,1708076062,950
258,1708076062,960
259,1708076062,970
260,1708076062,980
261,1708076062,991
262,1708076063,1
263,1708076063,11
264,1708076063,21
265,1708076063,32
266,1708076063,42
267,1708076063,52
268,1708076063,62
269,1708076063,73
270,1708076063,83
271,1708076063,93
272,1708076063,103
273,1708076063,114
274,1708076063,124
275,1708076063,134
276,1708076063,144
277,1708076063,154
278,1708076063,165
279,1708076063,175
280,1708076063,185
281,1708076063,195
282,1708076063,206
283,1708076063,216
284,1708076063,226
285,1708076063,237
286,1708076063,247
287,1708076063,258
288,1708076063,268
289,1708076063,278
290,1708076063,289
291,1708076063,299
292,1708076063,309
293,1708076063,320
294,1708076063,330
295,1708076063,340
296,1708076063,350
297,1708076063,360
298,1708076063,370
299,1708076063,381
300,1708076063,391
