№,title,price,image
1,DIGMAНоутбук Magnus M Ryzen 5 5600U 16Gb SSD512Gb W11P,от 52 691 ₽  −43%92 523 ₽,https://basket-11.wbbasket.ru/vol1628/part162896/162896740/images/c516x688/1.webp
2,TopTrendНоутбук FRBBY V16 Pro,от 25 925 ₽  −48%50 000 ₽,https://basket-12.wbbasket.ru/vol1886/part188649/188649197/images/c516x688/1.webp
3,lenovoИгровой ноутбук Legion Pro 5 16IRX8 [82WK003VRK],от 139 025 ₽  −26%187 999 ₽,https://basket-13.wbbasket.ru/vol1960/part196045/196045518/images/c516x688/1.webp
4,"lenovoНоутбук ThinkPad T480 i5-8250U 14""",от 32 663 ₽  −60%81 762 ₽,https://basket-10.wbbasket.ru/vol1586/part158602/158602316/images/c516x688/1.webp
5,"SmartxНоутбук 14.1"" W10pro SSD512GB Intel Celeron J4105 6 GB",от 21 705 ₽  −46%39 900 ₽,https://basket-12.wbbasket.ru/vol1692/part169234/169234407/images/c516x688/1.webp
6,InfinixInbook Y1 NEO XL30,от 27 668 ₽  −25%36 990 ₽,https://basket-12.wbbasket.ru/vol1776/part177640/177640375/images/c516x688/1.webp
7,"CompolisНоутбук 15.6"" IPS 4-Ядра 16GB SSD 512GB",от 31 900 ₽  −58%75 059 ₽,https://basket-12.wbbasket.ru/vol1695/part169592/169592183/images/c516x688/1.webp
8,AsusНоутбук Vivobook Go 14 E1404FA-EB045 [90NB0ZS2-M00670],от 38 573 ₽  −24%50 990 ₽,https://basket-13.wbbasket.ru/vol1965/part196503/196503330/images/c516x688/1.webp
9,"CHUWIНоутбук Corebook X 14'',Intel i5-1235U, Win11 HOME",от 42 423 ₽  −15%49 910 ₽,https://basket-10.wbbasket.ru/vol1510/part151049/151049767/images/c516x688/1.webp
10,MAIBENBENНоутбук P415 i3-1115G4 3000x2000 8ГБ+512ГБ Сенсорный экран,от 33 999 ₽  −15%39 999 ₽,https://basket-12.wbbasket.ru/vol1827/part182780/182780413/images/c516x688/1.webp
11,AcerИгровой ноутбук Nitro 5 AN515-58-56W4 [NH.QFJER.002],от 78 465 ₽  −32%115 390 ₽,
12,"DeltaTechНоутбук 15.6"" IPS 4-Ядра RAM DDR5 12GB SSD 512GB (M.2)",от 37 064 ₽  −58%88 990 ₽,
13,InfinixInbook Y1 PLUS 10TH XL28,от 35 692 ₽  −29%49 990 ₽,
14,"DeltaTechНоутбук игровой i7 1260P MX 550 16"" 20GB DDR4 SSD 512GB",от 72 924 ₽  −44%129 990 ₽,
15,"DeltaTechНоутбук сенсорный 15.6"" IPS 4-Ядра RAM 12GB DDR5 и SSD 512GB",от 52 014 ₽  −49%101 990 ₽,
16,AsusНоутбук ROG i7 16Gb 512Gb 3050Ti DOS [90NR0941-M002E0],от 98 611 ₽  −27%134 900 ₽,
17,"Ноутбук 14"" IPS 4-Ядра 8GB SSD 256GBНоутбук 14"" 4-Ядра IPS 1920х1080 FHD RAM 8Gb SSD 256Gb",от 18 492 ₽  −37%29 400 ₽,
18,"CHUWIНоутбук Corebook X 14'',Intel i5-1235U, Win11 HOME",от 40 026 ₽  −15%47 090 ₽,
19,lenovoИгровой ноутбук Legion Pro 7 16IRX8 [82WR000VRK],от 205 784 ₽  −24%268 999 ₽,
20,AcerНоутбук EX215-22-R5D4 15.6 Ryzen 3 8Gb (NX.EG9ER.02M),от 40 542 ₽  −13%46 600 ₽,
21,AppleMacBook Air 13 M2 8 512 (Space Grey),от 135 993 ₽  −32%199 990 ₽,
22,"DIGMAНоутбук EVE 15 C423 15.6"" Ryzen 3 3200U 16Gb SSD512Gb W11Pro",от 30 591 ₽  −36%47 987 ₽,
23,"lenovoНоутбук 82HL005TRK(Cel 15,6 1Тб 4Гб UMA noOS)",от 29 380 ₽  −21%37 190 ₽,
24,"DIGMAНоутбук EVE 15 C423 15.6"" Ryzen 3 3200U 8Gb SSD512Gb W11Pro",от 28 891 ₽  −35%44 724 ₽,
25,AcerНоутбук Aspire 3 A314-35 NX.A7SER.00G,от 29 648 ₽  −32%43 600 ₽,
26,lenovoНоутбук Legion 5 Pro,от 155 805 ₽  −15%183 300 ₽,
27,AppleMacBook Air 13 M2 8 256 (Space Grey),от 107 433 ₽  −33%159 990 ₽,
28,AsusНоутбук игровой VivoBook Pro 15 M6500QC-HN089,от 79 891 ₽  −32%117 488 ₽,
29,AcerНоутбук Aspire 3 A315-35 NX.A6LER.004,от 33 993 ₽  −32%49 990 ₽,
30,lenovoИгровой ноутбук Legion Slim 5 16APH8 [82Y9001PRK],от 88 732 ₽  −26%119 990 ₽,
31,AcerНоутбук Aspire 5 A515-57 NX.K3KER.006,от 55 692 ₽  −32%81 900 ₽,
32,MAIBENBENНоутбук M565 i7-1165G7 16ГБ+512ГБ сенсорный экран FHD Win11,от 53 549 ₽  −15%62 999 ₽,
